,municipio
1496,San Miguel Tlacamama
1497,Santiago Tapextla
1498,San José Estancia Grande
1499,Santo Domingo Armenta
1500,Santiago Jamiltepec
1501,San Pedro Atoyac
1502,San Juan Colorado
1503,Santiago Ixtayutla
1504,San Pedro Jicayán
1505,Pinotepa de Don Luis
1506,San Lorenzo
1507,San Agustín Chayuco
1508,San Andrés Huaxpaltepec
1509,Santa Catarina Mechoacán
1510,Santiago Tetepec
1511,Santa María Huazolotitlán
1512,Villa de Tututepec
1513,Tataltepec de Valdés
1514,San Juan Quiahije
1515,San Miguel Panixtlahuaca
1516,Santa Catarina Juquila
1517,San Pedro Juchatengo
1518,Santiago Yaitepec
1519,San Juan Lachao
1520,Santa María Temaxcaltepec
1521,Santos Reyes Nopala
1522,San Gabriel Mixtepec
1523,San Pedro Mixtepec -Dto. 22 -
1524,Puebla
1525,Tlaltenango
1526,San Miguel Xoxtla
1527,Juan C. Bonilla
1528,Coronango
1529,Cuautlancingo
1530,San Pedro Cholula
1531,San Andrés Cholula
1532,Ocoyucan
1533,Amozoc
1534,Francisco Z. Mena
1535,Jalpan
1536,Tlaxco
1537,Tlacuilotepec
1538,Xicotepec
1539,Pahuatlán
1540,Honey
1541,Naupan
1542,Huauchinango
1543,Ahuazotepec
1544,Juan Galindo
1545,Tlaola
1546,Zihuateutla
1547,Jopala
1548,Tlapacoya
1549,Chignahuapan
1550,Zacatlán
1551,Chiconcuautla
1552,Tepetzintla
1553,San Felipe Tepatlán
1554,Amixtlán
1555,Tepango de Rodríguez
1556,Zongozotla
1557,Hermenegildo Galeana
1558,Olintla
1559,Coatepec
1560,Camocuautla
1561,Hueytlalpan
1562,Zapotitlán de Méndez
1563,Huitzilan de Serdán
1564,Xochitlán de Vicente Suárez
1565,Ixtepec
1566,Atlequizayan
1567,Tenampulco
1568,Tuzamapan de Galeana
1569,Caxhuacan
1570,Jonotla
1571,Zoquiapan
1572,Nauzontla
1573,Cuetzalan del Progreso
1574,Ayotoxco de Guerrero
1575,Hueytamalco
1576,Acateno
1577,Cuautempan
1578,Aquixtla
1579,Tetela de Ocampo
1580,Xochiapulco
1581,Zacapoaxtla
1582,Ixtacamaxtitlán
1583,Zautla
1584,Libres
1585,Teziutlán
1586,Tlatlauquitepec
1587,Yaonáhuac
1588,Teteles de Ávila Castillo
1589,Atempan
1590,Chignautla
1591,Xiutetelco
1592,Cuyoaco
1593,Tepeyahualco
1594,San Martín Texmelucan
1595,Tlahuapan
1596,San Matías Tlalancaleca
1597,San Salvador el Verde
1598,San Felipe Teotlalcingo
1599,Chiautzingo
1600,Huejotzingo
1601,Domingo Arenas
1602,Calpan
1603,San Nicolás de los Ranchos
1604,Atlixco
1605,Nealtican
1606,San Jerónimo Tecuanipan
1607,San Gregorio Atzompa
1608,Tochimilco
1609,Tianguismanalco
1610,Santa Isabel Cholula
1611,Huaquechula
1612,San Diego la Mesa Tochimiltzingo
1613,Tepeojuma
1614,Izúcar de Matamoros
1615,Atzitzihuacán
1616,Acteopan
1617,Cohuecan
1618,Tepemaxalco
1619,Tlapanalá
1620,Tepexco
1621,Tilapa
1622,Chietla
1623,Atzala
1624,Teopantlán
1625,San Martín Totoltepec
1626,Xochiltepec
1627,Epatlán
1628,Ahuatlán
1629,Coatzingo
1630,Santa Catarina Tlaltempan
1631,Chigmecatitlán
1632,Zacapala
1633,Tepexi de Rodríguez
1634,Teotlalco
1635,Jolalpan
1636,Huehuetlán el Chico
1637,Cohetzala
1638,Xicotlán
1639,Chila de la Sal
1640,Ixcamilpa de Guerrero
1641,Albino Zertuche
1642,Tulcingo
1643,Tehuitzingo
1644,Cuayuca de Andrade
1645,Santa Inés Ahuatempan
1646,Axutla
1647,Chinantla
1648,Ahuehuetitla
1649,San Pablo Anicano
1650,Tecomatlán
1651,Piaxtla
1652,Ixcaquixtla
1653,Xayacatlán de Bravo
1654,Totoltepec de Guerrero
1655,San Jerónimo Xayacatlán
1656,San Pedro Yeloixtlahuaca
1657,Petlalcingo
1658,San Miguel Ixitlán
1659,Chila
1660,Rafael Lara Grajales
1661,San José Chiapa
1662,Oriental
1663,San Nicolás Buenos Aires
1664,Tlachichuca
1665,Lafragua
1666,Chilchotla
1667,Quimixtlán
1668,Chichiquila
1669,Tepatlaxco de Hidalgo
1670,Acajete
1671,Nopalucan
1672,Mazapiltepec de Juárez
1673,Soltepec
1674,Acatzingo
1675,San Salvador el Seco
1676,General Felipe Ángeles
1677,Aljojuca
1678,San Juan Atenco
1679,Tepeaca
1680,Cuautinchán
1681,Tecali de Herrera
1682,Mixtla
1683,Santo Tomás Hueyotlipan
1684,Tzicatlacoyan
1685,Huehuetlán el Grande
1686,La Magdalena Tlatlauquitepec
1687,San Juan Atzompa
1688,Huatlatlauca
1689,Los Reyes de Juárez
1690,Cuapiaxtla de Madero
1691,San Salvador Huixcolotla
1692,Quecholac
1693,Tecamachalco
1694,Palmar de Bravo
1695,Chalchicomula de Sesma
1696,Atzitzintla
1697,Esperanza
1698,Cañada Morelos
1699,Tlanepantla
1700,Tochtepec
1701,Atoyatempan
1702,Tepeyahualco de Cuauhtémoc
1703,Huitziltepec
1704,Molcaxac
1705,Xochitlán Todos Santos
1706,Yehualtepec
1707,Tlacotepec de Benito Juárez
1708,Juan N. Méndez
1709,Tehuacán
1710,Tepanco de López
1711,Chapulco
1712,Santiago Miahuatlán
1713,Nicolás Bravo
1714,Atexcal
1715,San Antonio Cañada
1716,Zapotitlán
1717,San Gabriel Chilac
1718,Caltepec
1719,Ajalpan
1720,Zoquitlán
1721,San Sebastián Tlacotepec
1722,Altepexi
1723,Zinacatepec
1724,San José Miahuatlán
1725,Coxcatlán
1726,Coyomeapan
1727,Querétaro
1728,El Marqués
1729,Colón
1730,Pinal de Amoles
1731,Jalpan de Serra
1732,Landa de Matamoros
1733,Arroyo Seco
1734,Peñamiller
1735,Cadereyta de Montes
1736,San Joaquín
1737,Ezequiel Montes
1738,Pedro Escobedo
1739,Tequisquiapan
1740,Amealco de Bonfil
1741,Corregidora
1742,Huimilpan
1743,Othón P. Blanco
1744,Felipe Carrillo Puerto
1745,Isla Mujeres
1746,Puerto Morelos
1747,Cozumel
1748,Solidaridad
1749,Tulum
1750,José María Morelos
1751,Bacalar
1752,San Luis Potosí
1753,Soledad de Graciano Sánchez
1754,Cerro de San Pedro
1755,Ahualulco
1756,Mexquitic de Carmona
1757,Villa de Arriaga
1758,Vanegas
1759,Cedral
1760,Catorce
1761,Charcas
1762,Salinas
1763,Santo Domingo
1764,Villa de Ramos
1765,Matehuala
1766,Villa de la Paz
1767,Villa de Guadalupe
1768,Guadalcázar
1769,Moctezuma
1770,Venado
1771,Villa de Arista
1772,Armadillo de los Infante
1773,Ciudad Valles
1774,Ebano
1775,Tamuín
1776,El Naranjo
1777,Ciudad del Maíz
1778,Alaquines
1779,Cárdenas
1780,Cerritos
1781,Villa Juárez
1782,San Nicolás Tolentino
1783,Villa de Reyes
1784,Santa María del Río
1785,Tierra Nueva
1786,Rioverde
1787,Ciudad Fernández
1788,San Ciro de Acosta
1789,Tamasopo
1790,Aquismón
1791,Tancanhuitz
1792,Tanlajás
1793,San Vicente Tancuayalab
1794,San Antonio
1795,Tanquián de Escobedo
1796,Tampamolón Corona
1797,Huehuetlán
1798,Xilitla
1799,Axtla de Terrazas
1800,Tampacán
1801,San Martín Chalchicuautla
1802,Tamazunchale
1803,Matlapa
1804,Culiacán
1805,Navolato
1806,Badiraguato
1807,Cosalá
1808,Mocorito
1809,Guasave
1810,Ahome
1811,Salvador Alvarado
1812,Angostura
1813,Choix
1814,El Fuerte
1815,Sinaloa
1816,Mazatlán
1817,Escuinapa
1818,Concordia
1819,Elota
1820,San Ignacio
1821,Hermosillo
1822,San Miguel de Horcasitas
1823,Carbó
1824,San Luis Río Colorado
1825,Puerto Peñasco
1826,General Plutarco Elías Calles
1827,Caborca
1828,Altar
1829,Tubutama
1830,Atil
1831,Oquitoa
1832,Sáric
1833,Benjamín Hill
1834,Trincheras
1835,Pitiquito
1836,Nogales
1837,Imuris
1838,Santa Cruz
1839,Naco
1840,Agua Prieta
1841,Fronteras
1842,Nacozari de García
1843,Bavispe
1844,Bacerac
1845,Huachinera
1846,Nácori Chico
1847,Granados
1848,Bacadéhuachi
1849,Cumpas
1850,Huásabas
1851,Cananea
1852,Arizpe
1853,Cucurpe
1854,Bacoachi
1855,San Pedro de la Cueva
1856,Divisaderos
1857,Tepache
1858,Villa Pesqueira
1859,Opodepe
1860,Huépac
1861,Banámichi
1862,Ures
1863,Aconchi
1864,Baviácora
1865,San Felipe de Jesús
1866,Cajeme
1867,Navojoa
1868,Huatabampo
1869,Bácum
1870,Etchojoa
1871,Empalme
1872,Guaymas
1873,San Ignacio Río Muerto
1874,La Colorada
1875,Suaqui Grande
1876,Sahuaripa
1877,San Javier
1878,Soyopa
1879,Bacanora
1880,Arivechi
1881,Quiriego
1882,Ónavas
1883,Álamos
1884,Yécora
1885,Centro
1886,Jalpa de Méndez
1887,Nacajuca
1888,Comalcalco
1889,Huimanguillo
1890,Paraíso
1891,Cunduacán
1892,Macuspana
1893,Centla
1894,Jonuta
1895,Teapa
1896,Jalapa
1897,Tacotalpa
1898,Tenosique
1899,Balancán
1900,Llera
1901,Güémez
1902,Casas
1903,Valle Hermoso
1904,Cruillas
1905,Soto la Marina
1906,San Carlos
1907,Padilla
1908,Mainero
1909,Tula
1910,Jaumave
1911,Miquihuana
1912,Palmillas
1913,Nuevo Laredo
1914,Miguel Alemán
1915,Mier
1916,Gustavo Díaz Ordaz
1917,Reynosa
1918,Río Bravo
1919,Méndez
1920,Burgos
1921,Tampico
1922,Ciudad Madero
1923,Altamira
1924,González
1925,Xicoténcatl
1926,El Mante
1927,Antiguo Morelos
1928,Nuevo Morelos
1929,Tlaxcala
1930,Ixtacuixtla de Mariano Matamoros
1931,Santa Ana Nopalucan
1932,Panotla
1933,Totolac
1934,Tepeyanco
1935,Santa Isabel Xiloxoxtla
1936,San Juan Huactzinco
1937,Calpulalpan
1938,Sanctórum de Lázaro Cárdenas
1939,Hueyotlipan
1940,Nanacamilpa de Mariano Arista
1941,Españita
1942,Apizaco
1943,Atlangatepec
1944,Muñoz de Domingo Arenas
1945,Tetla de la Solidaridad
1946,Xaltocan
1947,San Lucas Tecopilco
1948,Yauhquemehcan
1949,Xaloztoc
1950,Tocatlán
1951,Tzompantepec
1952,San José Teacalco
1953,Huamantla
1954,Terrenate
1955,Atltzayanca
1956,Cuapiaxtla
1957,El Carmen Tequexquitla
1958,Ixtenco
1959,Ziltlaltépec de Trinidad Sánchez Santos
1960,Apetatitlán de Antonio Carvajal
1961,Amaxac de Guerrero
1962,Santa Cruz Tlaxcala
1963,Cuaxomulco
1964,Contla de Juan Cuamatzi
1965,Tepetitla de Lardizábal
1966,Natívitas
1967,Santa Apolonia Teacalco
1968,Tetlatlahuca
1969,San Damián Texóloc
1970,San Jerónimo Zacualpan
1971,Zacatelco
1972,San Lorenzo Axocomanitla
1973,Santa Catarina Ayometla
1974,Xicohtzinco
1975,Papalotla de Xicohténcatl
1976,Chiautempan
1977,La Magdalena Tlaltelulco
1978,San Francisco Tetlanohcan
1979,Teolocholco
1980,Acuamanala de Miguel Hidalgo
1981,Santa Cruz Quilehtla
1982,Mazatecochco de José María Morelos
1983,San Pablo del Monte
1984,Xalapa
1985,Tlalnelhuayocan
1986,Xico
1987,Ixhuacán de los Reyes
1988,Ayahualulco
1989,Perote
1990,Banderilla
1991,Rafael Lucio
1992,Las Vigas de Ramírez
1993,Villa Aldama
1994,Tlacolulan
1995,Tonayán
1996,Coacoatzintla
1997,Naolinco
1998,Miahuatlán
1999,Tepetlán
2000,Juchique de Ferrer
2001,Alto Lucero de Gutiérrez Barrios
2002,Teocelo
2003,Cosautlán de Carvajal
2004,Apazapan
2005,Puente Nacional
2006,Ursulo Galván
2007,Paso de Ovejas
2008,La Antigua
2009,Veracruz
2010,Pánuco
2011,Pueblo Viejo
2012,Tampico Alto
2013,Tempoal
2014,Ozuluama de Mascareñas
2015,Tantoyuca
2016,Platón Sánchez
2017,Chiconamel
2018,Chalma
2019,Chontla
2020,Citlaltépetl
2021,Ixcatepec
2022,Naranjos Amatlán
2023,El Higo
2024,Chinampa de Gorostiza
2025,Tantima
2026,Tamalín
2027,Cerro Azul
2028,Tancoco
2029,Tamiahua
2030,Huayacocotla
2031,Ilamatlán
2032,Zontecomatlán de López y Fuentes
2033,Texcatepec
2034,Tlachichilco
2035,Ixhuatlán de Madero
2036,Chicontepec
2037,Álamo Temapache
2038,Tihuatlán
2039,Castillo de Teayo
2040,Cazones de Herrera
2041,Zozocolco de Hidalgo
2042,Chumatlán
2043,Coxquihui
2044,Mecatlán
2045,Filomeno Mata
2046,Coahuitlán
2047,Coyutla
2048,Coatzintla
2049,Espinal
2050,Poza Rica de Hidalgo
2051,Papantla
2052,Gutiérrez Zamora
2053,Tecolutla
2054,Martínez de la Torre
2055,San Rafael
2056,Tlapacoyan
2057,Jalacingo
2058,Atzalan
2059,Altotonga
2060,Las Minas
2061,Tatatila
2062,Tenochtitlán
2063,Nautla
2064,Misantla
2065,Landero y Coss
2066,Chiconquiaco
2067,Yecuatla
2068,Colipa
2069,Vega de Alatorre
2070,Jalcomulco
2071,Tlaltetela
2072,Tenampa
2073,Totutla
2074,Sochiapa
2075,Tlacotepec de Mejía
2076,Huatusco
2077,Calcahualco
2078,Alpatláhuac
2079,Coscomatepec
2080,La Perla
2081,Chocamán
2082,Ixhuatlán del Café
2083,Tepatlaxco
2084,Comapa
2085,Zentla
2086,Camarón de Tejeda
2087,Soledad de Doblado
2088,Manlio Fabio Altamirano
2089,Jamapa
2090,Medellín de Bravo
2091,Boca del Río
2092,Orizaba
2093,Rafael Delgado
2094,Mariano Escobedo
2095,Ixhuatlancillo
2096,Atzacan
2097,Ixtaczoquitlán
2098,Fortín
2099,Córdoba
2100,Maltrata
2101,Río Blanco
2102,Camerino Z. Mendoza
2103,Acultzingo
2104,Soledad Atzompa
2105,Huiloapan de Cuauhtémoc
2106,Tlaquilpa
2107,Astacinga
2108,Atlahuilco
2109,San Andrés Tenejapan
2110,Tlilapan
2111,Naranjal
2112,Coetzala
2113,Omealca
2114,Cuitláhuac
2115,Cuichapa
2116,Yanga
2117,Amatlán de los Reyes
2118,Paso del Macho
2119,Carrillo Puerto
2120,Cotaxtla
2121,Zongolica
2122,Tehuipango
2123,Mixtla de Altamirano
2124,Texhuacán
2125,Tezonapa
2126,Tlalixcoyan
2127,Ignacio de la Llave
2128,Alvarado
2129,Lerdo de Tejada
2130,Tres Valles
2131,Carlos A. Carrillo
2132,Cosamaloapan de Carpio
2133,Ixmatlahuacan
2134,Acula
2135,Amatitlán
2136,Tlacotalpan
2137,Saltabarranca
2138,Otatitlán
2139,Tlacojalpan
2140,Tuxtilla
2141,Chacaltianguis
2142,José Azueta
2143,Playa Vicente
2144,Santiago Sochiapan
2145,Isla
2146,Juan Rodríguez Clara
2147,San Andrés Tuxtla
2148,Santiago Tuxtla
2149,Angel R. Cabada
2150,Hueyapan de Ocampo
2151,Catemaco
2152,Soteapan
2153,Mecayapan
2154,Tatahuicapan de Juárez
2155,Pajapan
2156,Chinameca
2157,Acayucan
2158,San Juan Evangelista
2159,Sayula de Alemán
2160,Oluta
2161,Soconusco
2162,Texistepec
2163,Jáltipan
2164,Oteapan
2165,Cosoleacaque
2166,Nanchital de Lázaro Cárdenas del Río
2167,Ixhuatlán del Sureste
2168,Moloacán
2169,Coatzacoalcos
2170,Agua Dulce
2171,Hidalgotitlán
2172,Jesús Carranza
2173,Las Choapas
2174,Uxpanapa
2175,Mérida
2176,Chicxulub Pueblo
2177,Ixil
2178,Conkal
2179,Yaxkukul
2180,Hunucmá
2181,Ucú
2182,Kinchil
2183,Tetiz
2184,Celestún
2185,Kanasín
2186,Timucuy
2187,Acanceh
2188,Tixpéhual
2189,Umán
2190,Telchac Pueblo
2191,Dzemul
2192,Telchac Puerto
2193,Cansahcab
2194,Sinanché
2195,Yobaín
2196,Motul
2197,Baca
2198,Mocochá
2199,Muxupip
2200,Cacalchén
2201,Bokobá
2202,Tixkokob
2203,Hoctún
2204,Tahmek
2205,Dzidzantún
2206,Temax
2207,Tekantó
2208,Teya
2209,Suma
2210,Tepakán
2211,Tekal de Venegas
2212,Izamal
2213,Hocabá
2214,Xocchel
2215,Seyé
2216,Cuzamá
2217,Homún
2218,Sanahcat
2219,Huhí
2220,Dzilam González
2221,Dzilam de Bravo
2222,Panabá
2223,Buctzotz
2224,Sucilá
2225,Cenotillo
2226,Dzoncauich
2227,Tunkás
2228,Quintana Roo
2229,Dzitás
2230,Kantunil
2231,Sudzal
2232,Tekit
2233,Sotuta
2234,Tizimín
2235,Río Lagartos
2236,Espita
2237,Temozón
2238,Calotmul
2239,Tinum
2240,Chankom
2241,Chichimilá
2242,Tixcacalcupul
2243,Kaua
2244,Cuncunul
2245,Tekom
2246,Chemax
2247,Valladolid
2248,Uayma
2249,Maxcanú
2250,Samahil
2251,Opichén
2252,Chocholá
2253,Kopomá
2254,Tecoh
2255,Abalá
2256,Halachó
2257,Muna
2258,Sacalum
2259,Maní
2260,Dzan
2261,Chapab
2262,Ticul
2263,Oxkutzcab
2264,Santa Elena
2265,Mama
2266,Chumayel
2267,Mayapán
2268,Teabo
2269,Cantamayec
2270,Yaxcabá
2271,Peto
2272,Chikindzonot
2273,Tahdziú
2274,Tixmehuac
2275,Chacsinkín
2276,Tzucacab
2277,Tekax
2278,Akil
2279,Zacatecas
2280,Vetagrande
2281,Concepción del Oro
2282,Mazapil
2283,El Salvador
2284,Juan Aldama
2285,Miguel Auza
2286,General Francisco R. Murguía
2287,Río Grande
2288,Villa de Cos
2289,Cañitas de Felipe Pescador
2290,Calera
2291,General Enrique Estrada
2292,Trancoso
2293,Genaro Codina
2294,Ojocaliente
2295,General Pánfilo Natera
2296,Luis Moya
2297,Villa González Ortega
2298,Noria de Ángeles
2299,Villa García
2300,Pinos
2301,Fresnillo
2302,Sombrerete
2303,Sain Alto
2304,Valparaíso
2305,Chalchihuites
2306,Jiménez del Teul
2307,Jerez
2308,Monte Escobedo
2309,Susticacán
2310,Villanueva
2311,Tepetongo
2312,El Plateado de Joaquín Amaro
2313,Jalpa
2314,Tabasco
2315,Huanusco
2316,Tlaltenango de Sánchez Román
2317,Momax
2318,Atolinga
2319,Tepechitlán
2320,Teúl de González Ortega
2321,Santa María de la Paz
2322,Trinidad García de la Cadena
2323,Mezquital del Oro
2324,Nochistlán de Mejía
2325,Apulco
2326,Apozol
2327,Juchipila
2328,Moyahua de Estrada
